"href","nom","photo","bloc","groupe_id","liste","region","sexe","age","profession","siege"
"elus/Moez_Belhaj_Rhouma.html","Moez Belhaj Rhouma","/2014/uploads/images/moez belhaj rhouma.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Nabeul 1","Hommes","51","","235"
"elus/Lakhdhar_Belhouchat.html","Lakhdhar Belhouchat","/2014/uploads/images/Lakhdhar_Belhouchat.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Medenine","Hommes","53","Instituteur enseignement de base","185"
"elus/Aroua_Ben_Abbas.html","Aroua Ben Abbas","/2014/uploads/images/Aroua_Ben Abbas.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Tunis 2","Femmes","54","Architecte","92"
"elus/Najia_Ben_Abdelhafidh.html","Najia Ben Abdelhafidh","/2014/uploads/images/Najia_Ben Abdelhafidh.thumb50.png","Bloc National","Bloc_National","Mouvement Nidaa Tounes","France 2","Femmes","52","Enseignant du secondaire","246"
"elus/Noureddine_Ben_Achour.html","Noureddine Ben Achour","/2014/uploads/images/ben achour noureddine.thumb50.png","Aucun bloc","Aucun_bloc","Union Patriotique Libre","Beja","Hommes","55","Agriculteur","259"
"elus/Mustapha_Ben_Ahmed.html","Mustapha Ben Ahmed","/2014/uploads/images/Mustapha_Ben Ahmed.thumb50.png","Bloc National","Bloc_National","Mouvement Nidaa Tounes","Tunis 2","Hommes","63","Fonctionnaire publique","256"
"elus/Khaoula_Ben_Aicha.html","Khawla Ben Aicha","/2014/uploads/images/Khaoula_Ben Aicha.thumb50.png","Bloc Al Horra du Mouvement Machrouu Tounes","Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes","Mouvement Nidaa Tounes","France 1","Femmes","29","Chercheur universitaire","109"
"elus/Nadhir_Ben_Ammou.html","Nadhir Ben Ammou","/2014/uploads/images/Nadhir_Ben Ammou.thumb50.png","Aucun bloc","Aucun_bloc","Mouvement Ennahdha","Tunis 1","Hommes","57","Avocat","59"
"elus/Bechir_Ben_Amor.html","Bechir Ben Amor","/2014/uploads/images/ben amor bechir.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Medenine","Hommes","69","Chef d'entreprise","37"
"elus/Hedi_Ben_Braham.html","Hedi Ben Braham","/2014/uploads/images/Hedi_Ben Braham.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Mahdia","Hommes","66","Enseignant universitaire","60"
"elus/Heger_Ben_Cheikh_Ahmed.html","Heger Ben Cheikh Ahmed","/2014/uploads/images/hager ben cheikh ahmed_1.thumb50.png","Afek Tounes et l'appel des tunisiens à l'étranger","Afek_Tounes_et_lappel_des_tunisiens_à_létranger","Afek Tounes","Tunis 2","Femmes","0","","77"
"elus/Abdelkader_Ben_Dhifallah.html","Abdelkader Ben Dhifallah","/2014/uploads/images/ben dhifallah abdelkader.thumb50.png","Union Patriotique Libre","Union_Patriotique_Libre","Union Patriotique Libre","Nabeul 2","Hommes","43","Agriculteur","158"
"elus/Mahbouba_Ben_Dhifallah.html","Mahbouba Ben Dhifallah","/2014/uploads/images/Mahbouba_Ben Dhifallah.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Kebili","Femmes","47","Cadre supérieur dans la fonction publique","189"
"elus/Faouzia_Ben_Fodha.html","Faouzia Ben Fodha","/2014/uploads/images/faouzia_bf.thumb50.png","Union Patriotique Libre","Union_Patriotique_Libre","Union Patriotique Libre","La Manouba","Femmes","54","Instituteur enseignement de base","294"
"elus/Ramzi_Ben_Fraj.html","Ramzi Ben Fraj","/2014/uploads/images/Ramzi_Ben Fraj.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Amérique et reste de l'Europe","Hommes","49","Avocat","134"
"elus/Sahbi_Ben_Fraj.html","Sahbi Ben Fraj","/2014/uploads/images/Sahbi_Ben Fraj.thumb50.png","Bloc Al Horra du Mouvement Machrouu Tounes","Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes","Mouvement Nidaa Tounes","Tunis 2","Hommes","51","Médecin ","40"
"elus/El_Khansa_Ben_Harrath.html","El Khansa Ben Harrath","/2014/uploads/images/El Khansa_Ben Harrath.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Le Kef","Femmes","48","Ingénieur ","38"
"elus/Rabha_Ben_Hassine.html","Rabha Ben Hassine","/2014/uploads/images/Rabha Ben Hassine.thumb50.png","Bloc Al Horra du Mouvement Machrouu Tounes","Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes","Mouvement Nidaa Tounes","Mahdia","Femmes","49","Enseignant du secondaire","110"
"elus/Ibtihej_Ben_Helal.html","Ibtihej Ben Helal","/2014/uploads/images/Ibtihej_Ben Helal.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Bizerte","Femmes","37","Fonctionnaire publique","11"
"elus/Emna_Ben_Hmayed.html","Emna Ben Hmayed","/2014/uploads/images/Emna_Ben Hmayed.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Bizerte","Femmes","37","Enseignant du secondaire","95"
"elus/Ismail_Ben_Mahmoud.html","Ismail Ben Mahmoud","/2014/uploads/images/Ismail_Ben Mahmoud.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Sfax 2","Hommes","51","Fonctionnaire dans le secteur privé","35"
