href,nom,photo,bloc,groupe_id,liste,region,sexe,age,profession,siege
elus/Zied_Lakhdhar,Zied Lakhdhar,./2014/uploads/images/Zied_Lakhdhar.thumb50.png,Popular Front,Front_Populaire,Popular Front,Ben Arous,Male,55,Teacher,42
elus/Lajmi_Lourimi,Lajmi Lourimi,./2014/uploads/images/Lajmi_Lourimi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Sousse,Male,55,Teacher,58
elus/Abdellatif_Mekki,Abdellatif Mekki,./2014/uploads/images/Abdellatif_Mekki.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Le Kef,Male,55,Docteur ,179
elus/Ridha_Zghondi,Ridha Zghondi,./2014/uploads/images/zghondi ridha.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Free Patriotic Union,Zaghouan,Male,55,Lawyer,257
elus/Leila_Hamrouni,Leila Hamrouni,./2014/uploads/images/Leila_Hamrouni.thumb50.png,Bloc National,Bloc_National,Mouvement Nidaa Tounes,Ariana,Female,56,Researcher,202
elus/Mohamed_Saidane,Mohamed Saidane,./2014/uploads/images/Mohamed_Saidane.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Monastir,Male,56,Entrepreneur,243
elus/Hedi_Soula,Hedi Soula,./2014/uploads/images/Hedi_Soula.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Kairouan,Male,56,Manager (public sect),61
elus/Ammar_Amroussia,Ammar Amroussia,./2014/uploads/images/amroussia ammar.thumb50.png,Popular Front,Front_Populaire,Popular Front,Gafsa,Male,57,Primary Teacher,113
elus/Nadhir_Ben_Ammou,Nadhir Ben Ammou,./2014/uploads/images/Nadhir_Ben Ammou.thumb50.png,Aucun bloc,Aucun_bloc,Mouvement Ennahdha,Tunis 1,Male,57,Lawyer,59
elus/Bechir_Ellazzem,Bechir Ellazzem,./2014/uploads/images/Bechir_Ellazzem.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Bizerte,Male,57,Docteur ,29
elus/Chahida_Fraj,Chahida Fraj,./2014/uploads/images/Chahida_Fraj.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Monastir,Female,57,Manager (public sect),141
elus/Badreddine_Abdelkefi,Badreddine Abdelkefi,./2014/uploads/images/Badreddine_Abdelkefi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Sfax 2,Male,58,Teacher,6
elus/Sahbi_Atig,Sahbi Atig,./2014/uploads/images/Sahbi_Atig.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Ariana,Male,58,Researcher,57
elus/Salah_Bargaoui,Salah Bargaoui,./2014/uploads/images/Salah_Bargaoui.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Siliana,Male,58,Lawyer,153
